num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor
36,20220601,문정2동제2투,서울특별시,송파구,문정2동,"올림픽훼밀리타운 관리사무소 (1층, 입주자대표회의실)",서울특별시 송파구 중대로 24 (문정동),1층
37,20220601,방이1동제2투,서울특별시,송파구,방이1동,"방이초등학교(오름관2층, 체육관)",서울특별시 송파구 위례성대로10길 4 (방이동),2층
38,20220601,방이2동제2투,서울특별시,송파구,방이2동,"방이중학교(2층, 해오름관)",서울특별시 송파구 오금로11길 64 (방이동),2층
39,20220601,삼전동제2투,서울특별시,송파구,삼전동,"송파구민회관 (2층, 소강당)",서울특별시 송파구 백제고분로 242 (삼전동),2층
40,20220601,석촌동제2투,서울특별시,송파구,석촌동,"석촌초등학교 (별관1층, 학습도움반2)",서울특별시 송파구 가락로11길 26 (석촌동),1층
41,20220601,송파1동제2투,서울특별시,송파구,송파1동,송파농협 송파나루역지점(1층),서울특별시 송파구 오금로 126 (송파동),1층
42,20220601,송파2동제2투,서울특별시,송파구,송파2동,"중대초등학교 (1층, 로비)",서울특별시 송파구 송파대로36길 8 (송파동),1층
43,20220601,오금동제2투,서울특별시,송파구,오금동,"오금초등학교 (1층, 도서정보실)",서울특별시 송파구 위례성대로22길 11 (오금동),1층
44,20220601,오륜동제2투,서울특별시,송파구,오륜동,"오륜초등학교 (1층, 한울관)",서울특별시 송파구 양재대로 1196 (방이동),1층
45,20220601,위례동제2투,서울특별시,송파구,위례동,"송례초등학교 (1층, 초록반)",서울특별시 송파구 위례순환로 439 (장지동),1층
46,20220601,잠실2동제2투,서울특별시,송파구,잠실2동,"잠신중학교 (1층, 미술1실)",서울특별시 송파구 잠실로 12 (잠실동),1층
47,20220601,잠실3동제2투,서울특별시,송파구,잠실3동,"신천초등학교 (1층, 제2과학실험실)",서울특별시 송파구 올림픽로 215 (잠실동),1층
48,20220601,잠실4동제2투,서울특별시,송파구,잠실4동,"잠실초등학교(1층, 해오름관 로비)",서울특별시 송파구 올림픽로35길 20 (신천동),1층
49,20220601,잠실6동제2투,서울특별시,송파구,잠실6동,"잠동초등학교 (1층, 대강당)",서울특별시 송파구 올림픽로35길 122 (신천동),1층
50,20220601,잠실7동제2투,서울특별시,송파구,잠실7동,"우성아파트 경로당 (1층, 할머니방)",서울특별시 송파구 올림픽로4길 42 (잠실동),1층
51,20220601,잠실본동제2투,서울특별시,송파구,잠실본동,"잠실본동주민센터(4층, 주민공유공간)",서울특별시 송파구 백제고분로 145 (잠실동),3층이상
52,20220601,장지동제2투,서울특별시,송파구,장지동,"문정고등학교(1층, 지락관 문정홀)",서울특별시 송파구 송이로34길 62 (문정동),1층
53,20220601,풍납1동제2투,서울특별시,송파구,풍납1동,"서울풍납초등학교(1층, 한울채)",서울특별시 송파구 풍성로 43 (풍납동),1층
54,20220601,풍납2동제2투,서울특별시,송파구,풍납2동,"풍납2동주민센터(지하1층, 다목적실)",서울특별시 송파구 토성로 52 (풍납동),지하
55,20220601,가락1동제3투,서울특별시,송파구,가락1동,"서울해누리초등학교(1층, 영어실)",서울특별시 송파구 송파대로37길 95 (가락동),1층
56,20220601,가락2동제3투,서울특별시,송파구,가락2동,"쌍용아파트관리사무소(1층, 북카페·경로당)",서울특별시 송파구 동남로 193 (가락동),1층
57,20220601,가락본동제3투,서울특별시,송파구,가락본동,"석촌중학교 (1층, 체육관)",서울특별시 송파구 송이로15길 13 (가락동),1층
58,20220601,거여1동제3투,서울특별시,송파구,거여1동,"서울인공지능고등학교(구 송파공업고등학교) (1층, 회의실)",서울특별시 송파구 양산로 21 (거여동),1층
59,20220601,거여2동제3투,서울특별시,송파구,거여2동,"거여2단지아파트 관리사무소 (1층, 회의실)",서울특별시 송파구 양산로8길 24 (거여동),1층
60,20220601,마천1동제3투,서울특별시,송파구,마천1동,"마천청소년센터 (1층, 드림스타트)",서울특별시 송파구 성내천로 319 (마천동),1층
61,20220601,마천2동제3투,서울특별시,송파구,마천2동,"송파구 평생학습원(2층, 강의실)",서울특별시 송파구 마천로35길 12 (마천동) 송파구 평생학습원,2층
62,20220601,문정1동제3투,서울특별시,송파구,문정1동,"문정중학교 교육정보관동(1층, 멀티미디어실)",서울특별시 송파구 문정로 73 (문정동),1층
63,20220601,문정2동제3투,서울특별시,송파구,문정2동,"서울가원초등학교(1층, 인성배움터실)",서울특별시 송파구 중대로4길 8 (문정동),1층
64,20220601,방이1동제3투,서울특별시,송파구,방이1동,"방산중학교(1층, 꿈누리관)",서울특별시 송파구 오금로29길 31 (방이동),1층
65,20220601,방이2동제3투,서울특별시,송파구,방이2동,"방이중학교 (2층, 해오름관)",서울특별시 송파구 오금로11길 64 (방이동),2층
66,20220601,삼전동제3투,서울특별시,송파구,삼전동,"서울시각장애인복지관 (1층, 휴게실)",서울특별시 송파구 삼학사로19길 27 (삼전동),1층
67,20220601,석촌동제3투,서울특별시,송파구,석촌동,"석촌초등학교 (1층, 체육관 Performance Zone교실)",서울특별시 송파구 가락로11길 26 (석촌동),1층
68,20220601,송파1동제3투,서울특별시,송파구,송파1동,"송파여성문화회관(1층, 미디어2실)",서울특별시 송파구 백제고분로42길 5 (송파동),1층
69,20220601,송파2동제3투,서울특별시,송파구,송파2동,"가락중학교 (1층, 꿈나래실2)",서울특별시 송파구 송이로 45 (송파동),1층
70,20220601,오금동제3투,서울특별시,송파구,오금동,"세륜중학교 (1층, 도서실)",서울특별시 송파구 양재대로72길 41 (오금동),1층
71,20220601,오륜동제3투,서울특별시,송파구,오륜동,"오륜초등학교 (1층, 한울관)",서울특별시 송파구 양재대로 1196 (방이동),1층
72,20220601,위례동제3투,서울특별시,송파구,위례동,"송례중학교(1층, 3-1반)",서울특별시 송파구 위례순환로 429 (장지동),1층
73,20220601,잠실2동제3투,서울특별시,송파구,잠실2동,"잠신초등학교 (1층, 현관로비)",서울특별시 송파구 잠실로 32 (잠실동),1층
74,20220601,잠실3동제3투,서울특별시,송파구,잠실3동,잠실5단지 경로당 (1층),서울특별시 송파구 송파대로 567 (잠실동),1층
75,20220601,잠실4동제3투,서울특별시,송파구,잠실4동,"잠실고등학교(1층, 탁구장)",서울특별시 송파구 올림픽로33길 71 (신천동),1층
76,20220601,잠실6동제3투,서울특별시,송파구,잠실6동,"장미아파트 경로당(1층, 충효노인정)",서울특별시 송파구 올림픽로35길 104 (신천동),1층
77,20220601,잠실본동제3투,서울특별시,송파구,잠실본동,"잠전초등학교 (1층, 다목적실)",서울특별시 송파구 올림픽로12길 51 (잠실동),1층
78,20220601,장지동제3투,서울특별시,송파구,장지동,"문덕초등학교(1층, 소회의실)",서울특별시 송파구 송이로34길 60 (문정동),1층
79,20220601,풍납1동제3투,서울특별시,송파구,풍납1동,"솔바람복지센터(1층, 체육실)",서울특별시 송파구 풍성로5길 16 (풍납동),1층
80,20220601,풍납2동제3투,서울특별시,송파구,풍납2동,"영파여자고등학교 (1층, 보건교육실)",서울특별시 송파구 올림픽로 565 (풍납동),1층
81,20220601,가락1동제4투,서울특별시,송파구,가락1동,"송파책박물관(1층, 키즈스튜디오)",서울특별시 송파구 송파대로37길 77 (가락동),1층
82,20220601,가락2동제4투,서울특별시,송파구,가락2동,"가동초등학교(1층, 보건교육실)",서울특별시 송파구 중대로20길 47 (가락동),1층
83,20220601,가락본동제4투,서울특별시,송파구,가락본동,"신가초등학교 (2층, 다목적강당)",서울특별시 송파구 송이로 75 (가락동),2층
84,20220601,거여2동제4투,서울특별시,송파구,거여2동,"거원초등학교(본관 1층, 연수실)",서울특별시 송파구 양산로2길 26 (거여동),1층
85,20220601,마천1동제4투,서울특별시,송파구,마천1동,"마천초등학교 (1층, 1-1반)",서울특별시 송파구 마천로61다길 24 (마천동),1층
86,20220601,마천2동제4투,서울특별시,송파구,마천2동,"서울남천초등학교 (서관1층, 자람터)",서울특별시 송파구 성내천로 207 (마천동),1층
87,20220601,문정1동제4투,서울특별시,송파구,문정1동,"문정래미안아파트 관리동(2층, 경로당)",서울특별시 송파구 문정로 83 (문정동),2층
88,20220601,문정2동제4투,서울특별시,송파구,문정2동,"송파푸르지오시티(지하1층, A출입구 로비)",서울특별시 송파구 새말로 62 (문정동),지하
89,20220601,방이2동제4투,서울특별시,송파구,방이2동,"방이경로당 (1층, 할머니방)",서울특별시 송파구 가락로39길 11 (방이동),1층
90,20220601,삼전동제4투,서울특별시,송파구,삼전동,"송파구민회관 (1층, 로비)",서울특별시 송파구 백제고분로 242 (삼전동),1층
91,20220601,석촌동제4투,서울특별시,송파구,석촌동,"돌마리경로당 (1층, 할아버지방)",서울특별시 송파구 가락로7길 4 (석촌동),1층
92,20220601,송파1동제4투,서울특별시,송파구,송파1동,"송파초등학교(1층, 보건교육실)",서울특별시 송파구 백제고분로 400 (송파동),1층
93,20220601,송파2동제4투,서울특별시,송파구,송파2동,"송파삼성래미안아파트(1층, 경로당)","서울특별시 송파구 오금로32길 14 (송파동, 송파삼성래미안아파트)",1층
94,20220601,오금동제4투,서울특별시,송파구,오금동,"거여초등학교 (1층, 현관로비)",서울특별시 송파구 마천로25길 18 (오금동),1층
95,20220601,오륜동제4투,서울특별시,송파구,오륜동,"세륜초등학교 (1층, 세륜관)",서울특별시 송파구 양재대로 1264 (방이동),1층
96,20220601,위례동제4투,서울특별시,송파구,위례동,"위례별초등학교 (후관동 1층, 2학년 별교실)",서울특별시 송파구 위례광장로 243 (장지동),1층
97,20220601,잠실2동제4투,서울특별시,송파구,잠실2동,"잠신고등학교 (1층, 삼정관 음악실(2))",서울특별시 송파구 잠실로 24 (잠실동),1층
98,20220601,잠실3동제4투,서울특별시,송파구,잠실3동,"갤러리아팰리스 A동 (1층, 연회실)",서울특별시 송파구 올림픽로 212 (잠실동),1층
99,20220601,잠실4동제4투,서울특별시,송파구,잠실4동,"잠현초등학교(1층, 로비)",서울특별시 송파구 올림픽로37길 109 (신천동),1층
100,20220601,잠실본동제4투,서울특별시,송파구,잠실본동,"잠전초등학교 (1층, 체육관)",서울특별시 송파구 올림픽로12길 51 (잠실동),1층
