num,sgId,psName,sdName,wiwName,emdName,placeName,addr,floor,polling_source_year,normalized_psName,voters_2026,election_day_eligible_2026,election_day_votes_2026,election_day_turnout_2026,polling_place_count_2022,estimated_voters_per_polling_place,estimated_election_day_votes_per_polling_place,demand_source,estimated_ballots_m1,expected_election_day_votes_m2_proxy,투표소명,실제부족여부,투표중단여부,출처URL,confirmed_shortage_named,risk_ratio,risk_grade,is_fact
84,20260603,가락2동제3투,서울특별시,송파구,가락2동,"쌍용아파트관리사무소(1층, 북카페·경로당)",서울특별시 송파구 동남로 193 (가락동),1층,2026,가락2동제3투,21995.0,18886.0,10810.0,0.5723816583712803,7.0,3142.1428571428573,1544.2857142857142,2026_actual,1500.0,1544.2857142857142,가락2동 제3투표소,True,,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,True,1.0295,RED,True
88,20260603,가락2동제7투,서울특별시,송파구,가락2동,"삼환가락아파트(1층, 경로당)",서울특별시 송파구 오금로 432 (가락동),1층,2026,가락2동제7투,21995.0,18886.0,10810.0,0.5723816583712803,7.0,3142.1428571428573,1544.2857142857142,2026_actual,1500.0,1544.2857142857142,가락2동 제7투표소,True,,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,True,1.0295,RED,True
92,20260603,문정1동제4투,서울특별시,송파구,문정1동,"문정래미안아파트 관리동(1층, 주민편의시설)",서울특별시 송파구 문정로 83 (문정동),1층,2026,문정1동제4투,16280.0,13444.0,7212.0,0.5364474858673014,4.0,4070.0,1803.0,2026_actual,2000.0,1803.0,문정1동 제4투표소,True,,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,True,0.9015,RED,True
94,20260603,문정2동제2투,서울특별시,송파구,문정2동,"올림픽훼밀리타운 관리사무소(1층, 입주자대표회의실)",서울특별시 송파구 중대로 24 (문정동),1층,2026,문정2동제2투,23559.0,21294.0,12245.0,0.575044613506152,6.0,3926.5,2040.8333333333333,2026_actual,1900.0,2040.8333333333333,문정2동 제2투표소,True,,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,True,1.0741,RED,True
117,20260603,잠실2동제6투,서울특별시,송파구,잠실2동,"잠일초등학교(1층, 현관로비B)",서울특별시 송파구 올림픽로 95 (잠실동),1층,2026,잠실2동제6투,25382.0,21036.0,12797.0,0.6083380870888001,7.0,3626.0,1828.142857142857,2026_actual,1800.0,1828.142857142857,잠실2동 제6투표소,True,,https://www.fnnews.com/news/202606040629007170,True,1.0156,RED,True
131,20260603,잠실4동제5투,서울특별시,송파구,잠실4동,"잠실래미안아이파크 아파트 103동(2층, 공공개방시설 나눔센터)",서울특별시 송파구 올림픽로 393 (신천동),2층,2026,잠실4동제5투,23735.0,19608.0,12639.0,0.6445838433292533,4.0,5933.75,3159.75,2026_actual,2900.0,3159.75,잠실4동 제5투표소,True,True,https://www.donga.com/news/Politics/article/all/20260603/134042934/1?gid=134043412&regdate=&srev=1,True,1.0896,RED,True
138,20260603,잠실7동제2투,서울특별시,송파구,잠실7동,"우성아파트 경로당(1층, 할아버지방)",서울특별시 송파구 올림픽로4길 42 (잠실동),1층,2026,잠실7동제2투,8019.0,6418.0,4165.0,0.6489560610782175,2.0,4009.5,2082.5,2026_actual,2000.0,2082.5,잠실7동 제2투표소,True,,https://www.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500194?wlog_tag1=aiMbti_request_pc,True,1.0413,RED,True
143,20260603,위례동제5투,서울특별시,송파구,위례동,"위례포레샤인23단지아파트(2313동 1층, 다목적실)","서울특별시 송파구 위례순환로 477 (장지동, 위례포레샤인23단지)",1층,2026,위례동제5투,30760.0,25949.0,15421.0,0.5942810898300512,7.0,4394.285714285715,2203.0,2026_actual,2100.0,2203.0,위례동 제5투표소,True,,https://amp.seoul.co.kr/news/politics/local-election2026/2026/06/03/20260603500165?cp=seoul&wlog_tag4=mo_rel_3,True,1.049,RED,True
