패턴유형,시도,선거종류,선거코드,개표단위,반복지역수,구시군_읍면동,투표수목록,후보목록,득표벡터,해석제한
주요2후보득표벡터동일,인천광역시,광역단체장,3,관내사전투표,2,연수구 송도1동 / 연수구 송도2동,4546 / 4539,개혁신당 이기붕 | 국민의힘 유정복 | 더불어민주당 박찬대,3030 | 1440,동일 득표 패턴은 이례성 탐색 지표일 뿐 오류나 부정의 증거가 아님
주요2후보득표벡터동일,전라남도,광역단체장,3,관내사전투표,2,보성군 노동면 / 신안군 팔금면,476 / 486,국민의힘 이정현 | 더불어민주당 민형배 | 무소속 김광만 | 정의당 강은미 | 진보당 이종욱,356 | 42,동일 득표 패턴은 이례성 탐색 지표일 뿐 오류나 부정의 증거가 아님
주요2후보득표벡터동일,전라남도,광역단체장,3,관내사전투표,2,신안군 하의면 / 여수시 삼일동,642 / 587,국민의힘 이정현 | 더불어민주당 민형배 | 무소속 김광만 | 정의당 강은미 | 진보당 이종욱,506 | 42,동일 득표 패턴은 이례성 탐색 지표일 뿐 오류나 부정의 증거가 아님
주요2후보득표벡터동일,전라남도,광역단체장,3,관내사전투표,2,장성군 북하면 / 함평군 엄다면,775 / 754,국민의힘 이정현 | 더불어민주당 민형배 | 무소속 김광만 | 정의당 강은미 | 진보당 이종욱,606 | 57,동일 득표 패턴은 이례성 탐색 지표일 뿐 오류나 부정의 증거가 아님
